lang,,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv,
"132",0,1.2e-322,2094,1.2e-322,736,0.5,-1,0.5,-1,0.003421624,-1,0.937085012,-1,0.5,-1,1.96E-286,4727,2.80E-257,4801,2.81E-94,14774,0.5,-1,6.40E-212,6406,0.5,-1
"132",0,1.2e-322,2419,1.2e-322,754,0.5,-1,0.5,-1,0.004027706,-1,0.958063148,-1,0.5,-1,3.24E-289,4804,8.01E-259,5001,2.55E-94,14570,0.5,-1,5.61E-212,6385,0.5,-1
"132",0,1.2e-322,2311,1.2e-322,793,0.5,-1,0.5,-1,0.003885218,-1,0.933823975,-1,0.5,-1,2.26E-287,4405,4.55E-260,5069,3.21E-94,14454,0.5,-1,6.03E-212,6403,0.5,-1
"132",0,1.2e-322,2264,1.2e-322,808,0.5,-1,0.5,-1,0.003449121,-1,0.934126353,-1,0.5,-1,1.77E-289,4694,4.74E-256,5543,2.50E-94,14498,0.5,-1,6.37E-212,6393,0.5,-1
"132",0,1.2e-322,2033,1.2e-322,745,0.5,-1,0.5,-1,0.003785455,-1,0.938244835,-1,0.5,-1,1.80E-289,4822,5.80E-257,5471,2.11E-94,14550,0.5,-1,7.18E-212,6418,0.5,-1
"132",0,1.2e-322,2366,1.2e-322,823,0.5,-1,0.5,-1,0.00395582,-1,0.940478651,-1,0.5,-1,4.12E-293,4655,1.87E-256,5846,2.26E-94,14659,0.5,-1,5.77E-212,6378,0.5,-1
"132",0,1.2e-322,2170,1.2e-322,782,0.5,-1,0.5,-1,0.003404551,-1,0.942536914,-1,0.5,-1,2.65E-291,5126,3.64E-260,4717,2.08E-94,14458,0.5,-1,4.90E-212,6401,0.5,-1
"132",0,1.2e-322,2208,1.2e-322,783,0.5,-1,0.5,-1,0.003615185,-1,0.949535461,-1,0.5,-1,3.24E-289,4701,9.81E-258,5413,2.30E-94,14771,0.5,-1,6.71E-212,6384,0.5,-1
"132",0,1.2e-322,2250,1.2e-322,771,0.5,-1,0.5,-1,0.003995597,-1,0.947739488,-1,0.5,-1,1.25E-290,4619,1.91E-257,5189,1.04E-94,14289,0.5,-1,5.45E-212,6388,0.5,-1
"132",0,1.2e-322,2370,1.2e-322,767,0.5,-1,0.5,-1,0.00357204,-1,0.943982497,-1,0.5,-1,3.18E-289,5072,1.41E-260,5286,4.25E-94,14345,0.5,-1,6.07E-212,6396,0.5,-1
