2182
200 eChildren
1000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.034043803211861436,-1,0.9994695924905999,903,0.5,-1,0.5,-1,0.4935388573568574,-1,0.5769275383891086,-1,0.5,-1,0.126573605527729,-1,0.13722677236357445,-1,0.31906136423019915,-1,0.5,-1,0.1881273773521397,-1,0.5,-1
eChild 1,0.03544752521018475,-1,0.9996082574017461,861,0.5,-1,0.5,-1,0.4930453184995005,-1,0.5223541315732525,-1,0.5,-1,0.09539117780939606,-1,0.13448223691630296,-1,0.32551008859469893,-1,0.5,-1,0.18944955240246406,-1,0.5,-1
eChild 2,0.03617094409202526,-1,0.9995107690015045,895,0.5,-1,0.5,-1,0.4935388573568574,-1,0.574867168136861,-1,0.5,-1,0.1317925921779769,-1,0.14877657134606037,-1,0.32681539057157655,-1,0.5,-1,0.19059023879057269,-1,0.5,-1
eChild 3,0.03204175523257829,-1,0.9993102833977171,964,0.5,-1,0.5,-1,0.497007490007497,-1,0.6328784418404517,-1,0.5,-1,0.10988177879371971,-1,0.15807249885895797,-1,0.32130375436631414,-1,0.5,-1,0.18737599585467385,-1,0.5,-1
eChild 4,0.02464082716504479,-1,0.9994364513198156,883,0.5,-1,0.5,-1,0.4955179580629371,-1,0.5945754608165454,-1,0.5,-1,0.11913006493385431,-1,0.1549110488817788,-1,0.327470003107789,-1,0.5,-1,0.18775131072481277,-1,0.5,-1
eChild 5,0.031400920127926724,-1,0.9995577739260207,872,0.5,-1,0.5,-1,0.49255227318100103,-1,0.5989194433532776,-1,0.5,-1,0.08622606945315976,-1,0.14002731873834126,-1,0.3235619042091385,-1,0.5,-1,0.18793924997478756,-1,0.5,-1
eChild 6,0.029554294817043605,-1,0.9995007846954127,916,0.5,-1,0.5,-1,0.4965104825174895,-1,0.6175574289539361,-1,0.5,-1,0.08798578515628547,-1,0.15807249885895797,-1,0.32034080669317455,-1,0.5,-1,0.1898290206146728,-1,0.5,-1
eChild 7,0.03690912662451557,-1,0.9995577739260207,887,0.5,-1,0.5,-1,0.4990005,-1,0.6189783032653964,-1,0.5,-1,0.12156129074883093,-1,0.1679492588748714,-1,0.316517789189436,-1,0.5,-1,0.1881273773521397,-1,0.5,-1
eChild 8,0.034043803211861436,-1,0.9992214003109559,965,0.5,-1,0.5,-1,0.4955179580629371,-1,0.5685341567111812,-1,0.5,-1,0.08115528676075834,-1,0.18208484004355852,-1,0.3248593939275981,-1,0.5,-1,0.19192972303848507,-1,0.5,-1
eChild 9,0.02464082716504479,-1,0.9996925930317507,823,0.5,-1,0.5,-1,0.4955179580629371,-1,0.5580158073915427,-1,0.5,-1,0.1317925921779769,-1,0.1612984682234265,-1,0.32944171837616504,-1,0.5,-1,0.1892601028500616,-1,0.5,-1
eChild 10,0.03843099398637606,-1,0.9995007846954127,861,0.5,-1,0.5,-1,0.49601397203497205,-1,0.6193936403824352,-1,0.5,-1,0.12156129074883093,-1,0.1121242640752242,-1,0.3197004454205949,-1,0.5,-1,0.1898290206146728,-1,0.5,-1
eChild 11,0.02565683794777675,-1,0.9996237704086369,871,0.5,-1,0.5,-1,0.4940328902471045,-1,0.577538054833445,-1,0.5,-1,0.10553046035348841,-1,0.1748742803778336,-1,0.32977148986603105,-1,0.5,-1,0.19001903965432712,-1,0.5,-1
eChild 12,0.062410232525847265,-1,0.9996312950004642,858,0.5,-1,0.5,-1,0.4980029980005,-1,0.5640398273070648,-1,0.5,-1,0.10135145412349028,-1,0.19741015349397847,-1,0.31810513700253984,-1,0.5,-1,0.18907084274721153,-1,0.5,-1
eChild 13,0.01933606916306941,-1,0.9993375961751675,938,0.5,-1,0.5,-1,0.4975049950024995,-1,0.6116926779102358,-1,0.5,-1,0.09161368716814397,-1,0.14288501912075638,-1,0.33275432756782747,-1,0.5,-1,0.18831569304518486,-1,0.5,-1
eChild 14,0.04001561223071226,-1,0.9994249503263425,915,0.5,-1,0.5,-1,0.4940328902471045,-1,0.5766614199960051,-1,0.5,-1,0.10768414321784532,-1,0.1121242640752242,-1,0.3171517755888381,-1,0.5,-1,0.18944955240246406,-1,0.5,-1
eChild 15,0.026714741719884166,-1,0.9991558688571338,970,0.5,-1,0.5,-1,0.4965104825174895,-1,0.6187593147413882,-1,0.5,-1,0.1121242640752242,-1,0.12404213341717442,-1,0.32098245061194786,-1,0.5,-1,0.18869289013255985,-1,0.5,-1
eChild 16,0.03690912662451557,-1,0.9995395396980641,881,0.5,-1,0.5,-1,0.49452741766476926,-1,0.6028709131725616,-1,0.5,-1,0.14288501912075638,-1,0.17137679477027692,-1,0.3168346238132493,-1,0.5,-1,0.1881273773521397,-1,0.5,-1
eChild 17,0.04251588648300481,-1,0.9994132146187168,937,0.5,-1,0.5,-1,0.49452741766476926,-1,0.6022421667402946,-1,0.5,-1,0.12156129074883093,-1,0.14877657134606037,-1,0.32551008859469893,-1,0.5,-1,0.1892601028500616,-1,0.5,-1
eChild 18,0.030772901725368187,-1,0.9995577739260207,899,0.5,-1,0.5,-1,0.4940328902471045,-1,0.5984555150127336,-1,0.5,-1,0.09932442504102047,-1,0.17137679477027692,-1,0.32194732707313334,-1,0.5,-1,0.19078101981038306,-1,0.5,-1
eChild 19,0.03766237410664854,-1,0.9993102833977171,930,0.5,-1,0.5,-1,0.4955179580629371,-1,0.542080628283298,-1,0.5,-1,0.10341985114641865,-1,0.12915674033441735,-1,0.32034080669317455,-1,0.5,-1,0.18869289013255985,-1,0.5,-1
eChild 20,0.026180446885486482,-1,0.999296207548691,949,0.5,-1,0.5,-1,0.4965104825174895,-1,0.5775293605171605,-1,0.5,-1,0.09539117780939606,-1,0.15181282790414324,-1,0.327470003107789,-1,0.5,-1,0.1888817719044643,-1,0.5,-1
eChild 21,0.03921529998609802,-1,0.9991386416909529,979,0.5,-1,0.5,-1,0.49452741766476926,-1,0.5696211934737169,-1,0.5,-1,0.09539117780939606,-1,0.14580103991913917,-1,0.3216253797460602,-1,0.5,-1,0.18963919159405812,-1,0.5,-1
eChild 22,0.029554294817043605,-1,0.9993375961751675,939,0.5,-1,0.5,-1,0.49601397203497205,-1,0.5942332916807104,-1,0.5,-1,0.1679492588748714,-1,0.1549110488817788,-1,0.32130375436631414,-1,0.5,-1,0.1881273773521397,-1,0.5,-1
eChild 23,0.03766237410664854,-1,0.9995666184475003,886,0.5,-1,0.5,-1,0.4935388573568574,-1,0.6305647017878732,-1,0.5,-1,0.10988177879371971,-1,0.15807249885895797,-1,0.3225921888586618,-1,0.5,-1,0.18944955240246406,-1,0.5,-1
eChild 24,0.028963208920702734,-1,0.9995666184475003,883,0.5,-1,0.5,-1,0.49601397203497205,-1,0.568509658332252,-1,0.5,-1,0.10553046035348841,-1,0.1549110488817788,-1,0.33812392421992615,-1,0.5,-1,0.1911631549571424,-1,0.5,-1
