821
100 eChildren
1000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.14002731873834126,-1,9.524147177008436e-05,719,0.5,-1,0.5,-1,0.5960544983463858,-1,0.49058501743219957,-1,0.5,-1,0.9375897674741526,-1,0.9999935152361548,541,0.32130375436631414,-1,0.5,-1,0.19020924890323035,-1,0.5,-1
eChild 1,0.12915674033441735,-1,0.00010119239408121229,728,0.5,-1,0.5,-1,0.5950634706252425,-1,0.4910760935257253,-1,0.5,-1,0.9591677426217221,-1,0.9999961649402637,489,0.3133668166823095,-1,0.5,-1,0.18963919159405812,-1,0.5,-1
eChild 2,0.10988177879371971,-1,9.524147177008436e-05,724,0.5,-1,0.5,-1,0.5614211352667664,-1,0.49255227318100103,-1,0.5,-1,0.9479656082975526,-1,0.9999978217774363,477,0.31242765601934575,-1,0.5,-1,0.18963919159405812,-1,0.5,-1
eChild 3,0.14002731873834126,-1,0.00011656424123681841,744,0.5,-1,0.5,-1,0.5968291709648806,-1,0.4940328902471045,-1,0.5,-1,0.942434788659962,-1,0.9999973341144812,509,0.316517789189436,-1,0.5,-1,0.18831569304518486,-1,0.5,-1
eChild 4,0.10768414321784532,-1,0.0001515745742447991,753,0.5,-1,0.5,-1,0.5863702488227206,-1,0.4896043379823526,-1,0.5,-1,0.9557310636370212,-1,0.9999947014758029,553,0.30993696527146325,-1,0.5,-1,0.1892601028500616,-1,0.5,-1
eChild 5,0.13722677236357445,-1,0.0001263749620724315,743,0.5,-1,0.5,-1,0.6029797414655355,-1,0.49255227318100103,-1,0.5,-1,0.9281092075561491,-1,0.9999965334097473,524,0.3093174012778856,-1,0.5,-1,0.1888817719044643,-1,0.5,-1
eChild 6,0.1549110488817788,-1,0.0001213705135743632,758,0.5,-1,0.5,-1,0.6107464001840425,-1,0.4930453184995005,-1,0.5,-1,0.9583344312466552,-1,0.9999981090293755,501,0.3093174012778856,-1,0.5,-1,0.18869289013255985,-1,0.5,-1
eChild 7,0.1121242640752242,-1,0.00010119239408121229,714,0.5,-1,0.5,-1,0.6186466751274338,-1,0.4930453184995005,-1,0.5,-1,0.9469036819362782,-1,0.9999972797086543,503,0.31462342389552733,-1,0.5,-1,0.1892601028500616,-1,0.5,-1
eChild 8,0.11913006493385431,-1,0.00013980756114895872,748,0.5,-1,0.5,-1,0.5653518686416197,-1,0.48764885629852334,-1,0.5,-1,0.9400612126821761,-1,0.9999976856767124,512,0.31180311313496306,-1,0.5,-1,0.19020924890323035,-1,0.5,-1
eChild 9,0.14877657134606037,-1,0.00015466793290285622,759,0.5,-1,0.5,-1,0.5783399981329094,-1,0.4935388573568574,-1,0.5,-1,0.9479656082975526,-1,0.9999947014758029,528,0.31242765601934575,-1,0.5,-1,0.19039964855178212,-1,0.5,-1
eChild 10,0.13722677236357445,-1,0.00013980756114895872,751,0.5,-1,0.5,-1,0.5852319772136393,-1,0.49009443241476736,-1,0.5,-1,0.9520051338686942,-1,0.9999963904724566,527,0.3177870318655373,-1,0.5,-1,0.19078101981038306,-1,0.5,-1
eChild 11,0.12404213341717442,-1,0.00013158575809291075,739,0.5,-1,0.5,-1,0.5947608669451169,-1,0.49009443241476736,-1,0.5,-1,0.9520051338686942,-1,0.9999977319631782,520,0.316517789189436,-1,0.5,-1,0.18963919159405812,-1,0.5,-1
eChild 12,0.13448223691630296,-1,0.0001213705135743632,746,0.5,-1,0.5,-1,0.5731593386380449,-1,0.49058501743219957,-1,0.5,-1,0.9520051338686942,-1,0.9999936449314316,558,0.32323834230492937,-1,0.5,-1,0.19039964855178212,-1,0.5,-1
eChild 13,0.14288501912075638,-1,8.436893210980299e-05,720,0.5,-1,0.5,-1,0.5962260360290552,-1,0.4930453184995005,-1,0.5,-1,0.9469036819362782,-1,0.9999954922115388,538,0.3127403964157615,-1,0.5,-1,0.1888817719044643,-1,0.5,-1
eChild 14,0.14580103991913917,-1,0.00013427118172745995,769,0.5,-1,0.5,-1,0.5943633097407987,-1,0.4940328902471045,-1,0.5,-1,0.9447143710290276,-1,0.9999970507531984,516,0.31305344986562716,-1,0.5,-1,0.19020924890323035,-1,0.5,-1
eChild 15,0.12156129074883093,-1,8.964051129822925e-05,703,0.5,-1,0.5,-1,0.5945623882315467,-1,0.4940328902471045,-1,0.5,-1,0.9412599884285326,-1,0.9999966027415523,530,0.31399449167116017,-1,0.5,-1,0.19001903965432712,-1,0.5,-1
eChild 16,0.1121242640752242,-1,0.00013158575809291075,757,0.5,-1,0.5,-1,0.5691010596683582,-1,0.48911473364437025,-1,0.5,-1,0.9510256468047901,-1,0.9999976856767124,508,0.3037967621581466,-1,0.5,-1,0.18737599585467385,-1,0.5,-1
eChild 17,0.13722677236357445,-1,0.00013427118172745995,766,0.5,-1,0.5,-1,0.5723115494597351,-1,0.4896043379823526,-1,0.5,-1,0.9529650311913204,-1,0.9999981090293755,489,0.3111798187118063,-1,0.5,-1,0.19001903965432712,-1,0.5,-1
eChild 18,0.11441251436247368,-1,0.00018550926302661813,767,0.5,-1,0.5,-1,0.5490082084962331,-1,0.4896043379823526,-1,0.5,-1,0.966637072852376,-1,0.9999973341144812,514,0.3010735025014731,-1,0.5,-1,0.1881273773521397,-1,0.5,-1
eChild 19,0.12915674033441735,-1,0.0001485430827599031,781,0.5,-1,0.5,-1,0.5702035080784689,-1,0.4930453184995005,-1,0.5,-1,0.9645524747898153,-1,0.9999959253162624,531,0.31305344986562716,-1,0.5,-1,0.18907084274721153,-1,0.5,-1
