7036
100 eChildren
1000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.9638290559079749,-1,0.9999638858222557,655,0.5,-1,0.5,-1,0.748287108208457,-1,0.48764885629852334,-1,0.5,-1,0.8463264820344366,-1,0.9999839038963909,621,0.9474237154167692,-1,0.5,-1,0.003974285790790973,-1,0.5,-1
eChild 1,0.942434788659962,-1,0.9999351184022495,685,0.5,-1,0.5,-1,0.7051203570479287,-1,0.48521548363154293,-1,0.5,-1,0.9150533796491737,-1,0.9999943704109288,543,0.9502496700152501,-1,0.5,-1,0.012316300502872487,-1,0.5,-1
eChild 2,0.9566164423642808,-1,0.9999786422401367,581,0.5,-1,0.5,-1,0.7001822451523899,-1,0.48376129234188364,-1,0.5,-1,0.8700734234079609,-1,0.9999888110296921,593,0.9404041355727711,-1,0.5,-1,0.013323330743352683,-1,0.5,-1
eChild 3,0.9447143710290276,-1,0.9999608462441458,677,0.5,-1,0.5,-1,0.7206470541506531,-1,0.48182914780570874,-1,0.5,-1,0.9244028802588404,-1,0.9999888110296921,570,0.9465566987797529,-1,0.5,-1,0.004503819021176567,-1,0.5,-1
eChild 4,0.966637072852376,-1,0.9999490863251825,657,0.5,-1,0.5,-1,0.7252791621232704,-1,0.48376129234188364,-1,0.5,-1,0.9186539150940347,-1,0.9999952105537859,542,0.9555722605075999,-1,0.5,-1,0.004973399002192137,-1,0.5,-1
eChild 5,0.9630908733754845,-1,0.9999539780704909,664,0.5,-1,0.5,-1,0.6687564682785413,-1,0.48521548363154293,-1,0.5,-1,0.915010413987094,-1,0.9999888110296921,586,0.9550893262238637,-1,0.5,-1,0.007138240177802571,-1,0.5,-1
eChild 6,0.9673043313953285,-1,0.9999608462441458,676,0.5,-1,0.5,-1,0.6571074717760139,-1,0.48327753104954174,-1,0.5,-1,0.8716959657454044,-1,0.9999876217359447,565,0.957664785684749,-1,0.5,-1,0.004478779521337137,-1,0.5,-1
eChild 7,0.9548276159561441,-1,0.999923737167662,722,0.5,-1,0.5,-1,0.7086095806954882,-1,0.48473026814791137,-1,0.5,-1,0.9357136637858289,-1,0.9999932478510566,550,0.9454536678818455,-1,0.5,-1,0.0157896205137714,-1,0.5,-1
eChild 8,0.9679582447674219,-1,0.99993893395925,693,0.5,-1,0.5,-1,0.7240196487239365,-1,0.4789453907267332,-1,0.5,-1,0.9400666614805114,-1,0.9999942555213559,529,0.9635512765382062,-1,0.5,-1,0.0017283943657226165,-1,0.5,-1
eChild 9,0.9469036819362782,-1,0.9999324431510302,696,0.5,-1,0.5,-1,0.7168550300062522,-1,0.48813699329181515,-1,0.5,-1,0.9211238831733773,-1,0.9999920634198194,561,0.9440410285767753,-1,0.5,-1,0.0034432146849972126,-1,0.5,-1
eChild 10,0.9679582447674219,-1,0.9999337942880097,702,0.5,-1,0.5,-1,0.6938143724826017,-1,0.48521548363154293,-1,0.5,-1,0.886539624166759,-1,0.9999906712210451,551,0.9650129041995157,-1,0.5,-1,0.001539185865355588,-1,0.5,-1
eChild 11,0.966637072852376,-1,0.99993893395925,678,0.5,-1,0.5,-1,0.7113042427728997,-1,0.48376129234188364,-1,0.5,-1,0.858385207138254,-1,0.9999908577966242,554,0.9557296559745481,-1,0.5,-1,0.0034483986187767257,-1,0.5,-1
eChild 12,0.9490062961316016,-1,0.9999139092529491,725,0.5,-1,0.5,-1,0.7129356207830903,-1,0.4823114592649737,-1,0.5,-1,0.8472082254430731,-1,0.9999878693012257,573,0.9530448471228263,-1,0.5,-1,0.0022023268191762964,-1,0.5,-1
