1601
100 eChildren
1000 sentences
 ,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv, 
eChild 0,0.0002835423996751391,838,1.0320349955023249e-05,570,0.5,-1,0.5,-1,0.48327753104954174,-1,0.4615396989186682,-1,0.5,-1,0.11674746363517723,-1,0.1121242640752242,-1,0.37897472189819337,-1,0.5,-1,0.20016665472498973,-1,0.5,-1
eChild 1,0.00089687454086537,979,1.074588708353108e-05,577,0.5,-1,0.5,-1,0.48473026814791137,-1,0.4718112818640303,-1,0.5,-1,0.08798578515628547,-1,0.14288501912075638,-1,0.3740775024255343,-1,0.5,-1,0.20360030828887152,-1,0.5,-1
eChild 2,0.0007037924513090261,945,8.26382775969636e-06,555,0.5,-1,0.5,-1,0.48473026814791137,-1,0.4694569388517746,-1,0.5,-1,0.08622606945315976,-1,0.126573605527729,-1,0.36629993585829107,-1,0.5,-1,0.20278712784336814,-1,0.5,-1
eChild 3,0.00044222607397920535,885,1.0320349955023249e-05,585,0.5,-1,0.5,-1,0.4827942535184922,-1,0.4713394705821663,-1,0.5,-1,0.08115528676075834,-1,0.16459027369737397,-1,0.3718386410975763,-1,0.5,-1,0.2009693270207871,-1,0.5,-1
eChild 4,0.0006234491807016985,910,7.777848576804136e-06,561,0.5,-1,0.5,-1,0.48424553787976343,-1,0.4737032545570706,-1,0.5,-1,0.08622606945315976,-1,0.15807249885895797,-1,0.3670336360968487,-1,0.5,-1,0.20339670798058265,-1,0.5,-1
eChild 5,0.00036133089954504916,856,4.693657289662287e-06,515,0.5,-1,0.5,-1,0.47942481554227545,-1,0.4680499759365789,-1,0.5,-1,0.058740011571467236,-1,0.12915674033441735,-1,0.36887432265379033,-1,0.5,-1,0.19876968464283273,-1,0.5,-1
eChild 6,0.0009529134765970919,983,1.609610360895017e-05,597,0.5,-1,0.5,-1,0.4871612074422248,-1,0.4718112818640303,-1,0.5,-1,0.09539117780939606,-1,0.13722677236357445,-1,0.36666660246075183,-1,0.5,-1,0.20319331127260207,-1,0.5,-1
eChild 7,0.000575049673657333,916,8.26382775969636e-06,559,0.5,-1,0.5,-1,0.4871612074422248,-1,0.4685184944310099,-1,0.5,-1,0.06498358238842905,-1,0.1679492588748714,-1,0.37109533565402225,-1,0.5,-1,0.20258434071552478,-1,0.5,-1
eChild 8,0.0006361726333690801,930,1.315168855571769e-05,583,0.5,-1,0.5,-1,0.4871612074422248,-1,0.4737032545570706,-1,0.5,-1,0.062410232525847265,-1,0.15807249885895797,-1,0.36156650358678216,-1,0.5,-1,0.20197719524381602,-1,0.5,-1
eChild 9,0.0004992153045871246,881,6.88994790127585e-06,534,0.5,-1,0.5,-1,0.4803851053679059,-1,0.46898748191292283,-1,0.5,-1,0.05528562897097239,-1,0.1549110488817788,-1,0.3725834353849108,-1,0.5,-1,0.20339670798058265,-1,0.5,-1
eChild 10,0.0006234491807016985,916,1.5458697906035745e-05,582,0.5,-1,0.5,-1,0.48667404623478255,-1,0.4680499759365789,-1,0.5,-1,0.056413907113237134,-1,0.126573605527729,-1,0.3685054483311365,-1,0.5,-1,0.20544190677244004,-1,0.5,-1
eChild 11,0.0004162196430206362,853,8.26382775969636e-06,578,0.5,-1,0.5,-1,0.48182914780570874,-1,0.4652486874766169,-1,0.5,-1,0.09539117780939606,-1,0.11913006493385431,-1,0.37370342492310876,-1,0.5,-1,0.20462137097522873,-1,0.5,-1
eChild 12,0.0008613583090471014,986,1.1888084798549776e-05,586,0.5,-1,0.5,-1,0.4861873721885478,-1,0.4694569388517746,-1,0.5,-1,0.08978141342478109,-1,0.10553046035348841,-1,0.36301639251017037,-1,0.5,-1,0.2011704975183054,-1,0.5,-1
eChild 13,0.0008613583090471014,978,5.861712901920473e-06,556,0.5,-1,0.5,-1,0.4823114592649737,-1,0.46898748191292283,-1,0.5,-1,0.06904391706307433,-1,0.1748742803778336,-1,0.3759535142191436,-1,0.5,-1,0.2056475543267668,-1,0.5,-1
eChild 14,0.0008789370500480627,968,8.26382775969636e-06,554,0.5,-1,0.5,-1,0.48424553787976343,-1,0.4737032545570706,-1,0.5,-1,0.10768414321784532,-1,0.15181282790414324,-1,0.36556770228651037,-1,0.5,-1,0.20278712784336814,-1,0.5,-1
eChild 15,0.0008441311428661594,960,8.26382775969636e-06,573,0.5,-1,0.5,-1,0.48570118481635927,-1,0.47417743198905965,-1,0.5,-1,0.06498358238842905,-1,0.15181282790414324,-1,0.3561808064955522,-1,0.5,-1,0.2013718693876931,-1,0.5,-1
eChild 16,0.0008107035496086594,970,2.362791069630572e-05,621,0.5,-1,0.5,-1,0.48521548363154293,-1,0.47798797889067046,-1,0.5,-1,0.09348335425320814,-1,0.11441251436247368,-1,0.3608437321461122,-1,0.5,-1,0.19996648807026474,-1,0.5,-1
eChild 17,0.0006624038248324449,948,9.14220337550747e-06,551,0.5,-1,0.5,-1,0.48911473364437025,-1,0.4699268657174921,-1,0.5,-1,0.09539117780939606,-1,0.1612984682234265,-1,0.3801139237076592,-1,0.5,-1,0.20503122840080193,-1,0.5,-1
